Trials, Serializer, JSON
5,345359,1922350
505,36334,16297
1005,119810,20820
1505,99180,30090
2005,119171,37171
2505,180687,51831
3005,172615,57547
3505,246950,65995
4005,378323,79059
4505,550841,112356
5005,1007293,95905
5505,919299,104828
6005,709255,121185
6505,600012,192502
7005,999049,172976
7505,1064631,182330
8005,960187,158884
8505,801681,268180
9005,738735,221713
9505,1117575,280184
10005,1368673,254564
10505,1603652,221143
11005,1001879,224547
11505,1267339,279217
12005,1537200,277033
12505,1048631,251186
13005,907653,255974
13505,1454919,299684
14005,1075608,258448
14505,916942,354633
15005,1028736,363265
15505,934788,323581
16005,1025318,377685
16505,1435522,312094
17005,1055885,354227
17505,1026301,344940
18005,1126095,432317
18505,1147439,423549
19005,1277304,458200
19505,1370741,511615
20005,1345733,519016
20505,1318763,450354
21005,1231232,456045
21505,1427375,523260
22005,1453279,565720
22505,1550930,443631
23005,1750048,568954
23505,1745248,721201
24005,1441694,603984
24505,1879937,579255
25005,1760983,641660
25505,1529294,600147
26005,1859749,611019
26505,1732333,549100
27005,2025922,582905
27505,1830919,627346
28005,1841333,758035
28505,1806956,618505
29005,1847021,718293
29505,1938070,619686
30005,1924216,754206
30505,1940530,692734
31005,2003458,692724
31505,2004537,721689
32005,2006641,710631
32505,1991159,737745
33005,2774442,731966
33505,2899180,806371
34005,2228360,781299
34505,2616408,816868
35005,2602871,707279
35505,2757505,808256
36005,2926374,978351
36505,2746964,794658
37005,3181457,987439
37505,4439907,846300
38005,2958792,1198307
38505,3292797,903541
39005,3418418,1039879
39505,3467747,810196
40005,3745120,955203
40505,4142954,1061929
41005,3706137,1072595
41505,3837246,933827
42005,3050239,964424
42505,3319106,933964
43005,3898532,976043
43505,3307430,954706
44005,3685439,1028605
44505,4187575,1160712
45005,3863723,1024940
45505,4235344,1096128
46005,3712841,1081152
46505,3742871,1133337
47005,2999727,1024377
47505,3356590,1162003
48005,3012301,1155085
48505,3213594,1068311
49005,3147561,1261093
49505,3326276,1145677
